•ÈÀSeries Name,Series Code,Country Name,Country Code,2005 [YR2005],2013 [YR2013]
GINI index (World Bank estimate),SI.POV.GINI,Kiribati,KIR,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Korea, Dem. People‰Ûªs Rep.",PRK,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Korea, Rep.",KOR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kosovo,KSV,31.24,26.71
GINI index (World Bank estimate),SI.POV.GINI,Kuwait,KWT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Kyrgyz Republic,KGZ,38.32,..
GINI index (World Bank estimate),SI.POV.GINI,Lao PDR,LAO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Latvia,LVA,39.4,..
GINI index (World Bank estimate),SI.POV.GINI,Lebanon,LBN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Lesotho,LSO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Liberia,LBR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Libya,LBY,..,..
GINI index (World Bank estimate),SI.POV.GINI,Liechtenstein,LIE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Lithuania,LTU,35.3,..
GINI index (World Bank estimate),SI.POV.GINI,Luxembourg,LUX,31.11,..
GINI index (World Bank estimate),SI.POV.GINI,"Macao SAR, China",MAC,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Macedonia, FYR",MKD,39.31,..
GINI index (World Bank estimate),SI.POV.GINI,Madagascar,MDG,38.88,..
GINI index (World Bank estimate),SI.POV.GINI,Malawi,MWI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Malaysia,MYS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Maldives,MDV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mali,MLI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Malta,MLT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Marshall Islands,MHL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mauritania,MRT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mauritius,MUS,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mexico,MEX,51.11,..
GINI index (World Bank estimate),SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Moldova,MDA,36.28,28.53
GINI index (World Bank estimate),SI.POV.GINI,Monaco,MCO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mongolia,MNG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Montenegro,MNE,30.14,33.19
GINI index (World Bank estimate),SI.POV.GINI,Morocco,MAR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Mozambique,MOZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Myanmar,MMR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Namibia,NAM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Nepal,NPL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Netherlands,NLD,29.86,..
GINI index (World Bank estimate),SI.POV.GINI,New Caledonia,NCL,..,..
GINI index (World Bank estimate),SI.POV.GINI,New Zealand,NZL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Nicaragua,NIC,40.49,..
GINI index (World Bank estimate),SI.POV.GINI,Niger,NER,44.43,..
GINI index (World Bank estimate),SI.POV.GINI,Nigeria,NGA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Northern Mariana Islands,MNP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Norway,NOR,32.27,..
GINI index (World Bank estimate),SI.POV.GINI,Oman,OMN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Pakistan,PAK,32.69,..
GINI index (World Bank estimate),SI.POV.GINI,Palau,PLW,..,..
GINI index (World Bank estimate),SI.POV.GINI,Panama,PAN,53.99,51.67
GINI index (World Bank estimate),SI.POV.GINI,Papua New Guinea,PNG,..,..
GINI index (World Bank estimate),SI.POV.GINI,Paraguay,PRY,51.37,48.3
GINI index (World Bank estimate),SI.POV.GINI,Peru,PER,51.84,44.73
GINI index (World Bank estimate),SI.POV.GINI,Philippines,PHL,..,..
GINI index (World Bank estimate),SI.POV.GINI,Poland,POL,35.86,..
GINI index (World Bank estimate),SI.POV.GINI,Portugal,PRT,38.47,..
GINI index (World Bank estimate),SI.POV.GINI,Puerto Rico,PRI,..,..
GINI index (World Bank estimate),SI.POV.GINI,Qatar,QAT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Romania,ROM,29.82,..
GINI index (World Bank estimate),SI.POV.GINI,Russian Federation,RUS,41.37,..
GINI index (World Bank estimate),SI.POV.GINI,Rwanda,RWA,52.04,..
GINI index (World Bank estimate),SI.POV.GINI,Samoa,WSM,..,..
GINI index (World Bank estimate),SI.POV.GINI,San Marino,SMR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sao Tome and Principe,STP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Saudi Arabia,SAU,..,..
GINI index (World Bank estimate),SI.POV.GINI,Senegal,SEN,39.22,..
GINI index (World Bank estimate),SI.POV.GINI,Serbia,SRB,33.43,..
GINI index (World Bank estimate),SI.POV.GINI,Seychelles,SYC,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sierra Leone,SLE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Singapore,SGP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sint Maarten (Dutch part),SXM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Slovak Republic,SVK,29.83,..
GINI index (World Bank estimate),SI.POV.GINI,Slovenia,SVN,24.63,..
GINI index (World Bank estimate),SI.POV.GINI,Solomon Islands,SLB,46.1,..
GINI index (World Bank estimate),SI.POV.GINI,Somalia,SOM,..,..
GINI index (World Bank estimate),SI.POV.GINI,South Africa,ZAF,..,..
GINI index (World Bank estimate),SI.POV.GINI,South Sudan,SSD,..,..
GINI index (World Bank estimate),SI.POV.GINI,Spain,ESP,32.5,..
GINI index (World Bank estimate),SI.POV.GINI,Sri Lanka,LKA,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Kitts and Nevis,KNA,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Lucia,LCA,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Martin (French part),MAF,..,..
GINI index (World Bank estimate),SI.POV.GINI,St. Vincent and the Grenadines,VCT,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sudan,SDN,..,..
GINI index (World Bank estimate),SI.POV.GINI,Suriname,SUR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Swaziland,SWZ,..,..
GINI index (World Bank estimate),SI.POV.GINI,Sweden,SWE,27.1,..
GINI index (World Bank estimate),SI.POV.GINI,Switzerland,CHE,..,..
GINI index (World Bank estimate),SI.POV.GINI,Syrian Arab Republic,SYR,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tajikistan,TJK,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tanzania,TZA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Thailand,THA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Timor-Leste,TMP,..,..
GINI index (World Bank estimate),SI.POV.GINI,Togo,TGO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tonga,TON,..,..
GINI index (World Bank estimate),SI.POV.GINI,Trinidad and Tobago,TTO,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tunisia,TUN,37.73,..
GINI index (World Bank estimate),SI.POV.GINI,Turkey,TUR,41.72,..
GINI index (World Bank estimate),SI.POV.GINI,Turkmenistan,TKM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Turks and Caicos Islands,TCA,..,..
GINI index (World Bank estimate),SI.POV.GINI,Tuvalu,TUV,..,..
GINI index (World Bank estimate),SI.POV.GINI,Uganda,UGA,42.94,..
GINI index (World Bank estimate),SI.POV.GINI,Ukraine,UKR,29.02,24.55
GINI index (World Bank estimate),SI.POV.GINI,United Arab Emirates,ARE,..,..
GINI index (World Bank estimate),SI.POV.GINI,United Kingdom,GBR,34.56,..
GINI index (World Bank estimate),SI.POV.GINI,United States,USA,..,41.06
GINI index (World Bank estimate),SI.POV.GINI,Uruguay,URY,45.87,41.87
GINI index (World Bank estimate),SI.POV.GINI,Uzbekistan,UZB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Vanuatu,VUT,..,..
GINI index (World Bank estimate),SI.POV.GINI,"Venezuela, RB",VEN,52.36,..
GINI index (World Bank estimate),SI.POV.GINI,Vietnam,VNM,..,..
GINI index (World Bank estimate),SI.POV.GINI,Virgin Islands (U.S.),VIR,..,..
GINI index (World Bank estimate),SI.POV.GINI,West Bank and Gaza,WBG,34.72,..
GINI index (World Bank estimate),SI.POV.GINI,"Yemen, Rep.",YEM,35.89,..
GINI index (World Bank estimate),SI.POV.GINI,Zambia,ZMB,..,..
GINI index (World Bank estimate),SI.POV.GINI,Zimbabwe,ZWE,..,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 04/11/2016,,,,,
