International Human Development Indicators,,,,
103,Mongolia,36.5,,
103,Maldives,37.4,,
106,Samoa,..,,
107,"Palestine, State of",35.5,,
108,Indonesia,38.1,,
109,Botswana,..,,
110,Egypt,30.8,,
111,Paraguay,52.4,,
112,Gabon,41.5,,
113,Bolivia (Plurinational State of),56.3,,
114,Moldova (Republic of),33,,
115,El Salvador,48.3,,
116,Uzbekistan,36.7,,
117,Philippines,43,,
118,Syrian Arab Republic,35.8,,
118,South Africa,63.1,,
120,Iraq,30.9,,
121,Viet Nam,35.6,,
121,Guyana,..,,
123,Cape Verde,50.5,,
124,Micronesia (Federated States of),61.1,,
125,Kyrgyzstan,33.4,,
125,Guatemala,55.9,,
127,Namibia,63.9,,
128,Timor-Leste,..,,
129,Morocco,40.9,,
129,Honduras,57,,
131,Vanuatu,..,,
132,Nicaragua,40.5,,
133,Tajikistan,30.8,,
133,Kiribati,..,,
135,India,33.9,,
136,Cambodia,36,,
136,Bhutan,38.1,,
138,Ghana,42.8,,
139,Lao People's Democratic Republic,36.7,,
140,Congo,47.3,,
141,Zambia,57.5,,
142,Sao Tome and Principe,50.8,,
142,Bangladesh,32.1,,
144,Equatorial Guinea,..,,
145,Nepal,32.8,,
146,Pakistan,30,,
147,Kenya,47.7,,
148,Swaziland,51.5,,
149,Angola,42.7,,
150,Myanmar,..,,
151,Rwanda,50.8,,
152,Nigeria,48.8,,
152,Cameroon,38.9,,
154,Yemen,37.7,,
155,Madagascar,44.1,,
156,Zimbabwe,..,,
157,Solomon Islands,..,,
157,Papua New Guinea,..,,
159,Tanzania (United Republic of),37.6,,
159,Comoros,64.3,,
161,Mauritania,40.5,,
162,Lesotho,52.5,,
163,Senegal,40.3,,
164,Uganda,44.3,,
165,Benin,38.6,,
166,Togo,39.3,,
166,Sudan,35.3,,
168,Haiti,59.2,,
169,Afghanistan,27.8,,
170,Djibouti,40,,
171,C™te d'Ivoire,41.5,,
172,Gambia,47.3,,
173,Ethiopia,33.6,,
174,Malawi,43.9,,
175,Liberia,38.2,,
176,Mali,33,,
177,Guinea-Bissau,35.5,,
178,Mozambique,45.7,,
179,Guinea,39.4,,
180,Burundi,33.3,,
181,Burkina Faso,39.8,,
182,Eritrea,..,,
183,Sierra Leone,35.4,,
184,Chad,39.8,,
185,Central African Republic,56.3,,
186,Congo (Democratic Republic of the),44.4,,
187,Niger,34.6,,
..,South Sudan,45.5,,
..,Tuvalu,..,,
..,Somalia,..,,
..,San Marino,..,,
..,Nauru,..,,
..,Monaco,..,,
..,Marshall Islands,..,,
..,Korea (Democratic People's Rep. of),..,,
"//Build a javascript array, with the footnote description in each element, indexed by its number footnoteDescriptions = []; $(document).ready(function() { //Activate tablesorter plugin $(""#MainTable"").tablesorter( { headers: { 0 : { sorter: ""digit"" }, 1 : { sorter: ""text"" }, 2 : { sorter: ""floatWithThousandSeparator"" }, }, }); //assign the sortStart event, to show a waiting message when ordering $(""#MainTable"").bind(""sortStart"",function() { $(""#waitingDiv"").show(); }).bind(""sortEnd"",function() { $(""#waitingDiv"").hide(); }); //assign the footnote description to each item $.each(footnoteDescriptions, function(footnoteNumber,footnoteDescription){ footnoteDescription = ""offsetx=[-250] offsety=[10] cssheader=[definition] header=[ Note] body=[",,,,
,,,,
""" + footnoteDescription + """,,,,
,,,,
"]""; $("".footnote.footnoteNumber"" + footnoteNumber).attr(""title"", footnoteDescription); }); } );",,,,
,,,,
,,,,
Footnotes,,,,
,,,,
,,,,
Symbols,,,,
..,Data not available,,,
(.),Greater (or less) than zero but small enough to be rounded off to zero at the displayed number of decimal points,,,
<,Less than,,,
-,Not applicable,,,
T,Total,,,
